organisationCapability,organisationId,itemId,detailedItemId,capabilityType,validationDate,sectorMappingId
OC-017930,001ON00000OCSMM,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017987,001ON00000OCSMN,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018048,001ON00000OCSMP,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017831,001ON00000OCSMQ,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017833,001ON00000OCSMR,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017836,001ON00000OCSMS,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017837,001ON00000OCSMT,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017841,001ON00000OCSMU,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017844,001ON00000OCSMW,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017846,001ON00000OCSMX,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017849,001ON00000OCSMY,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017854,001ON00000OCSMZ,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017858,001ON00000OCSN0,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017859,001ON00000OCSN1,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017862,001ON00000OCSN2,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017863,001ON00000OCSN3,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017866,001ON00000OCSN5,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017868,001ON00000OCSN6,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017870,001ON00000OCSN7,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
