Detailed Item ID  ↓,,Item Name,Item ID,Detailed Item Name,Organisation Capability,Organisation: Organisation Name,Organisation: Organisation ID,Capability Type,Validation Date,Organisation: Billing Street,Organisation: Billing City,Organisation: Billing State/Province,Organisation: Billing Zip/Postal Code,Sector Mapping ID,Sector Name,Formatted_Address,Latitude,Longitude,Geocoding_Service,Geocoding_Status
,,air compressor,ITM-002679,Compressor,OC-013528,,001On00000OCsdr,Manufacturer,1/06/2025,6/5 Vuko Place,WARRIEWOOD,NSW,2102,,,"6/5 Vuko Place, WARRIEWOOD, NSW, 2102",-33.6930966,151.3017878,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013513,,001On00000OCsem,Item Supplier,1/06/2025,"1/59-61 Burrows Road,",Alexandria,NSW,2015,,,"1/59-61 Burrows Road, Alexandria, NSW, 2015",,,,failed
,,air compressor,ITM-002679,Compressor,OC-013584,,001On00000OCsiN,Service Provider,1/06/2025,88 Hanson Road,Gladstone Central,QLD,4680,,,"88 Hanson Road, Gladstone Central, QLD, 4680",-23.8402717,151.2440566,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013604,,001On00000OCsiP,Service Provider,1/06/2025,"Unit 7, 31 Jessop Crescent",BERRIMAH,NT,828,,,"Unit 7, 31 Jessop Crescent, BERRIMAH, NT, 828",,,,failed
,,air compressor,ITM-002679,Compressor,OC-013638,,001On00000OCsiU,Service Provider,1/06/2025,"Unit 18, 26 Park Road",Mulgrave,NSW,2756,,,"Unit 18, 26 Park Road, Mulgrave, NSW, 2756",,,,failed
,,air compressor,ITM-002679,Compressor,OC-013552,,001On00000OCsiY,Service Provider,1/06/2025,1/993 South Pine Road,Everton Hills,QLD,4053,,,"1/993 South Pine Road, Everton Hills, QLD, 4053",-27.3917347,152.9746484,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013554,,001On00000OCsiZ,Service Provider,1/06/2025,1 Rowe St,Freshwater ,NSW,2096,,,"1 Rowe St, Freshwater, NSW, 2096",-33.779235,151.2789054,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013555,,001On00000OCsia,Service Provider,1/06/2025,12 Gravel Pit Road,DARRA,QLD,4076,,,"12 Gravel Pit Road, DARRA, QLD, 4076",-27.5614467,152.9440007,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013556,,001On00000OCsib,Service Provider,1/06/2025,"Factory 31/ 31-39 Norcal Road,",Nunawading,VIC,3131,,,"Factory 31/ 31-39 Norcal Road, Nunawading, VIC, 3131",-37.8213898,145.1802317,photon,success
,,air compressor,ITM-002679,Compressor,OC-013557,,001On00000OCsic,Service Provider,1/06/2025,1 Wicket Rd,Clyde,VIC ,3978,,,"1 Wicket Rd, Clyde, VIC, 3978",-38.1281525,145.3170669,nominatim,success
